Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount,
2/4/2025,2/4/2025,2/5/2025,SPY,"SPDR S&P 500 ETF
CUSIP: 78462F103",Sell,100,$601.36,"$60,134.30",
2/4/2025,2/4/2025,2/5/2025,XOM,"Exxon Mobil
CUSIP: 30231G102",Sell,100,$109.80,"$10,979.67",
2/4/2025,2/4/2025,2/5/2025,XOM,"Exxon Mobil
CUSIP: 30231G102",Sell,100,$109.82,"$10,981.67",
2/4/2025,2/4/2025,2/5/2025,XOM,"Exxon Mobil
CUSIP: 30231G102",Sell,100,$109.76,"$10,976.17",
2/4/2025,2/4/2025,2/5/2025,SPY,"SPDR S&P 500 ETF
CUSIP: 78462F103",Sell,2,$601.30,"$1,202.56",
2/4/2025,2/4/2025,2/5/2025,SPY,"SPDR S&P 500 ETF
CUSIP: 78462F103",Sell,31,$601.30,"$18,639.78",
2/3/2025,2/3/2025,2/4/2025,SPY,"SPDR S&P 500 ETF
CUSIP: 78462F103",Buy,33,$597.03,"-$19,701.99",
2/3/2025,2/3/2025,2/4/2025,PBR,"Petrobras
CUSIP: 71654V408",Sell,1400,$14.21,"$19,893.21",
2/3/2025,2/3/2025,2/4/2025,PBR,"Petrobras
CUSIP: 71654V408",Sell,99,$14.21,"$1,406.73",
2/3/2025,2/3/2025,2/4/2025,PBR,"Petrobras
CUSIP: 71654V408",Sell,100,$14.21,"$1,420.94",
2/3/2025,2/3/2025,2/4/2025,PBR,"Petrobras
CUSIP: 71654V408",Sell,1,$14.21,$14.21,
2/3/2025,2/3/2025,2/4/2025,SPY,"SPDR S&P 500 ETF
CUSIP: 78462F103",Buy,94,$598.35,"-$56,244.90",
2/3/2025,2/3/2025,2/4/2025,SPY,"SPDR S&P 500 ETF
CUSIP: 78462F103",Buy,6,$598.35,"-$3,590.10",
2/3/2025,2/3/2025,2/3/2025,,Gold Subscription Fee,GOLD,,,-$5.00,
2/3/2025,2/3/2025,2/3/2025,,Gold Deposit Boost Payment,GDBP,,,$4.80,
,,,,,,,,,
,,,,,,,,,The data provided is for informational purposes only. Please consult a professional tax service or personal tax advisor if you need instructions on how to calculate cost basis or questions regarding your specific tax situation. Reminder: This data does not include Robinhood Crypto or Robinhood Spending activity.
